src_player,dest_gameid,relation
700299:Brandini,700299,PLAYED_IN
700299:Levi,700299,PLAYED_IN
700299:Linsanity,700299,PLAYED_IN
700299:Rikara,700299,PLAYED_IN
700299:Stunt,700299,PLAYED_IN
700301:Dhokla,700301,PLAYED_IN
700301:Fanatiik,700301,PLAYED_IN
700301:Palafox,700301,PLAYED_IN
700301:Eclipse,700301,PLAYED_IN
700301:Gate,700301,PLAYED_IN
700301:Maxtrobo,700301,PLAYED_IN
700301:Moon,700301,PLAYED_IN
700301:Sun,700301,PLAYED_IN
700301:Piglet,700301,PLAYED_IN
700301:Vulcan,700301,PLAYED_IN
700303:PieCakeLord,700303,PLAYED_IN
700303:MikeYeung,700303,PLAYED_IN
700303:Ablazeolive,700303,PLAYED_IN
700303:MrRallez,700303,PLAYED_IN
700303:Shady,700303,PLAYED_IN
700303:V1per,700303,PLAYED_IN
700303:Hard,700303,PLAYED_IN
700303:Insanity,700303,PLAYED_IN
700303:Shoryu,700303,PLAYED_IN
700303:Joey,700303,PLAYED_IN
1002530107:Profit,1002530107,PLAYED_IN
1002530107:Memento,1002530107,PLAYED_IN
1002530107:Blanc,1002530107,PLAYED_IN
1002530107:HeaQ,1002530107,PLAYED_IN
1002530107:Norskeren,1002530107,PLAYED_IN
1002530107:Smittyj,1002530107,PLAYED_IN
1002530107:Shook,1002530107,PLAYED_IN
1002530107:Selfie,1002530107,PLAYED_IN
1002530107:Sheriff,1002530107,PLAYED_IN
1002530107:promisq,1002530107,PLAYED_IN
1002540168:Alphari,1002540168,PLAYED_IN
1002540168:Maxlore,1002540168,PLAYED_IN
1002540168:Sencux,1002540168,PLAYED_IN
1002540168:Hans Sama,1002540168,PLAYED_IN
1002540168:Mikyx,1002540168,PLAYED_IN
1002540168:WhiteKnight,1002540168,PLAYED_IN
1002540168:Kold,1002540168,PLAYED_IN
1002540168:Exileh,1002540168,PLAYED_IN
1002540168:Samux,1002540168,PLAYED_IN
1002540168:Totoro,1002540168,PLAYED_IN
1002530128:Cabochard,1002530128,PLAYED_IN
1002530128:Gilius,1002530128,PLAYED_IN
1002530128:Jiizuke,1002530128,PLAYED_IN
1002530128:Attila,1002530128,PLAYED_IN
1002530128:Jactroll,1002530128,PLAYED_IN
1002530128:Ruin,1002530128,PLAYED_IN
1002530128:Djoko,1002530128,PLAYED_IN
1002530128:Betsy,1002530128,PLAYED_IN
1002530128:Steeelback,1002530128,PLAYED_IN
1002530128:SirNukesAlot,1002530128,PLAYED_IN
1002540191:Bwipo,1002540191,PLAYED_IN
1002540191:Broxah,1002540191,PLAYED_IN
1002540191:Caps,1002540191,PLAYED_IN
1002540191:Rekkles,1002540191,PLAYED_IN
1002540191:Hylissang,1002540191,PLAYED_IN
1002540191:Vizicsacsi,1002540191,PLAYED_IN
1002540191:Amazing,1002540191,PLAYED_IN
1002540191:Nukeduck,1002540191,PLAYED_IN
1002540191:Upset,1002540191,PLAYED_IN
1002540191:Vander,1002540191,PLAYED_IN
1002540201:Wunder,1002540201,PLAYED_IN
1002540201:Jankos,1002540201,PLAYED_IN
1002540201:Perkz,1002540201,PLAYED_IN
1002540201:Hjarnan,1002540201,PLAYED_IN
1002540201:Wadid,1002540201,PLAYED_IN
1002540201:Odoamne,1002540201,PLAYED_IN
1002540201:Xerxe,1002540201,PLAYED_IN
1002540201:Nisqy,1002540201,PLAYED_IN
1002540201:Kobbe,1002540201,PLAYED_IN
1002540201:kaSing,1002540201,PLAYED_IN
1002620023:Impact,1002620023,PLAYED_IN
1002620023:Xmithie,1002620023,PLAYED_IN
1002620023:Pobelter,1002620023,PLAYED_IN
1002620023:Doublelift,1002620023,PLAYED_IN
1002620023:Olleh,1002620023,PLAYED_IN
1002620023:Ssumday,1002620023,PLAYED_IN
1002620023:Meteos,1002620023,PLAYED_IN
1002620023:Ryu,1002620023,PLAYED_IN
1002620023:Cody Sun,1002620023,PLAYED_IN
1002620023:aphromoo,1002620023,PLAYED_IN
1002620033:Hauntzer,1002620033,PLAYED_IN
1002620033:Grig,1002620033,PLAYED_IN
1002620033:Bjergsen,1002620033,PLAYED_IN
1002620033:Zven,1002620033,PLAYED_IN
1002620033:Mithy,1002620033,PLAYED_IN
1002620033:Darshan,1002620033,PLAYED_IN
1002620033:Reignover,1002620033,PLAYED_IN
1002620033:huhi,1002620033,PLAYED_IN
1002620033:Stixxay,1002620033,PLAYED_IN
1002620033:Biofrost,1002620033,PLAYED_IN
1002620042:Solo,1002620042,PLAYED_IN
1002620042:LirA,1002620042,PLAYED_IN
1002620042:Febiven,1002620042,PLAYED_IN
1002620042:Apollo,1002620042,PLAYED_IN
1002620042:Hakuho,1002620042,PLAYED_IN
1002620042:Licorice,1002620042,PLAYED_IN
1002620042:Svenskeren,1002620042,PLAYED_IN
1002620042:Goldenglue,1002620042,PLAYED_IN
1002620042:Keith,1002620042,PLAYED_IN
1002620042:Zeyzal,1002620042,PLAYED_IN
1002620060:Lourlo,1002620060,PLAYED_IN
1002620060:Contractz,1002620060,PLAYED_IN
1002620060:Mickey,1002620060,PLAYED_IN
1002620060:Deftly,1002620060,PLAYED_IN
1002620060:Matt,1002620060,PLAYED_IN
1002620060:Dhokla,1002620060,PLAYED_IN
1002620060:Akaadian,1002620060,PLAYED_IN
1002620060:PowerOfEvil,1002620060,PLAYED_IN
1002620060:Arrow,1002620060,PLAYED_IN
1002620060:BIG,1002620060,PLAYED_IN
720742:Kiin,720742,PLAYED_IN
720742:Spirit,720742,PLAYED_IN
720742:Kuro,720742,PLAYED_IN
720742:Kramer,720742,PLAYED_IN
720742:TusiN,720742,PLAYED_IN
720742:Smeb,720742,PLAYED_IN
720742:Score,720742,PLAYED_IN
720742:Ucal,720742,PLAYED_IN
720742:Deft,720742,PLAYED_IN
720742:Mata,720742,PLAYED_IN
720750:Smeb,720750,PLAYED_IN
720750:Score,720750,PLAYED_IN
720750:Ucal,720750,PLAYED_IN
720750:Deft,720750,PLAYED_IN
720750:Mata,720750,PLAYED_IN
720750:Kiin,720750,PLAYED_IN
720750:Spirit,720750,PLAYED_IN
720750:Kuro,720750,PLAYED_IN
720750:Kramer,720750,PLAYED_IN
720750:TusiN,720750,PLAYED_IN
720755:Kiin,720755,PLAYED_IN
720755:Spirit,720755,PLAYED_IN
720755:Kuro,720755,PLAYED_IN
720755:Aiming,720755,PLAYED_IN
720755:TusiN,720755,PLAYED_IN
720755:Smeb,720755,PLAYED_IN
720755:Rush,720755,PLAYED_IN
720755:Ucal,720755,PLAYED_IN
720755:Deft,720755,PLAYED_IN
720755:Mata,720755,PLAYED_IN
720765:Crazy,720765,PLAYED_IN
720765:Trick,720765,PLAYED_IN
720765:Tempt,720765,PLAYED_IN
720765:Ghost,720765,PLAYED_IN
720765:IgNar,720765,PLAYED_IN
720765:Sword,720765,PLAYED_IN
720765:Tarzan,720765,PLAYED_IN
720765:Rather,720765,PLAYED_IN
720765:Viper,720765,PLAYED_IN
720765:Lehends,720765,PLAYED_IN
720790:Sword,720790,PLAYED_IN
720790:Tarzan,720790,PLAYED_IN
720790:Chovy,720790,PLAYED_IN
720790:Viper,720790,PLAYED_IN
720790:Lehends,720790,PLAYED_IN
720790:Crazy,720790,PLAYED_IN
720790:Trick,720790,PLAYED_IN
720790:Tempt,720790,PLAYED_IN
720790:Ghost,720790,PLAYED_IN
720790:IgNar,720790,PLAYED_IN
720796:Crazy,720796,PLAYED_IN
720796:Trick,720796,PLAYED_IN
720796:Tempt,720796,PLAYED_IN
720796:Ghost,720796,PLAYED_IN
720796:IgNar,720796,PLAYED_IN
720796:Sword,720796,PLAYED_IN
720796:Tarzan,720796,PLAYED_IN
720796:Chovy,720796,PLAYED_IN
720796:Viper,720796,PLAYED_IN
720796:Lehends,720796,PLAYED_IN
720863:ADD,720863,PLAYED_IN
720863:Yondu,720863,PLAYED_IN
720863:Ian,720863,PLAYED_IN
720863:Pilot,720863,PLAYED_IN
720863:Max,720863,PLAYED_IN
720863:CuVee,720863,PLAYED_IN
720863:Haru,720863,PLAYED_IN
720863:Fly,720863,PLAYED_IN
720863:Ruler,720863,PLAYED_IN
720863:CoreJJ,720863,PLAYED_IN
720877:CuVee,720877,PLAYED_IN
720877:Haru,720877,PLAYED_IN
720877:Fly,720877,PLAYED_IN
720877:Ruler,720877,PLAYED_IN
720877:CoreJJ,720877,PLAYED_IN
720877:ADD,720877,PLAYED_IN
720877:Yondu,720877,PLAYED_IN
