player,win
2018-212Royal Never Give UpJD Gaming:Ming,0
2018-212Royal Never Give UpJD Gaming:LetMe,0
2018-212Royal Never Give UpJD Gaming:LokeN,1
2018-212Royal Never Give UpJD Gaming:Clid,1
2018-212Royal Never Give UpJD Gaming:Yagao,1
2018-212Royal Never Give UpJD Gaming:LvMao,1
2018-212Royal Never Give UpJD Gaming:Zoom,1
2018-213Royal Never Give UpJD Gaming:Uzi,0
2018-213Royal Never Give UpJD Gaming:Mlxg,0
2018-213Royal Never Give UpJD Gaming:xiaohu,0
2018-213Royal Never Give UpJD Gaming:Ming,0
2018-213Royal Never Give UpJD Gaming:Zz1tai,0
2018-213Royal Never Give UpJD Gaming:LokeN,1
2018-213Royal Never Give UpJD Gaming:Clid,1
2018-213Royal Never Give UpJD Gaming:Yagao,1
2018-213Royal Never Give UpJD Gaming:LvMao,1
2018-213Royal Never Give UpJD Gaming:Zoom,1
2018-211Suning GamingVici Gaming:Fury,1
2018-211Suning GamingVici Gaming:H4cker,1
2018-211Suning GamingVici Gaming:fenfen,1
2018-211Suning GamingVici Gaming:Yoon,1
2018-211Suning GamingVici Gaming:XiaoAL,1
2018-211Suning GamingVici Gaming:Snow,0
2018-211Suning GamingVici Gaming:Swift,0
2018-211Suning GamingVici Gaming:FireRain,0
2018-211Suning GamingVici Gaming:Caveman,0
2018-211Suning GamingVici Gaming:Aodi,0
2018-212Suning GamingVici Gaming:Fury,0
2018-212Suning GamingVici Gaming:H4cker,0
2018-212Suning GamingVici Gaming:fenfen,0
2018-212Suning GamingVici Gaming:Yoon,0
2018-212Suning GamingVici Gaming:XiaoAL,0
2018-212Suning GamingVici Gaming:Snow,1
2018-212Suning GamingVici Gaming:Swift,1
2018-212Suning GamingVici Gaming:FireRain,1
2018-212Suning GamingVici Gaming:Caveman,1
2018-212Suning GamingVici Gaming:Aodi,1
2018-213Vici GamingSuning Gaming:Snow,0
2018-213Vici GamingSuning Gaming:Swift,0
2018-213Vici GamingSuning Gaming:FireRain,0
2018-213Vici GamingSuning Gaming:Caveman,0
2018-213Vici GamingSuning Gaming:Aodi,0
2018-213Vici GamingSuning Gaming:Fury,1
2018-213Vici GamingSuning Gaming:H4cker,1
2018-213Vici GamingSuning Gaming:fenfen,1
2018-213Vici GamingSuning Gaming:Yoon,1
2018-213Vici GamingSuning Gaming:XiaoAL,1
2018-211Team WESnake Esports:GENTLE,1
2018-211Team WESnake Esports:Condi,1
2018-211Team WESnake Esports:xiye,1
2018-211Team WESnake Esports:Missing,1
2018-211Team WESnake Esports:957,1
2018-211Team WESnake Esports:Guoguo,0
2018-211Team WESnake Esports:SofM,0
2018-211Team WESnake Esports:Maestr0,0
2018-211Team WESnake Esports:Hudie,0
2018-211Team WESnake Esports:Flandre,0
2018-212Team WESnake Esports:GENTLE,0
2018-212Team WESnake Esports:Condi,0
2018-212Team WESnake Esports:xiye,0
2018-212Team WESnake Esports:Missing,0
2018-212Team WESnake Esports:957,0
2018-212Team WESnake Esports:Guoguo,1
2018-212Team WESnake Esports:SofM,1
2018-212Team WESnake Esports:Maestr0,1
2018-212Team WESnake Esports:Hudie,1
2018-212Team WESnake Esports:Flandre,1
2018-213Snake EsportsTeam WE:Guoguo,1
2018-213Snake EsportsTeam WE:SofM,1
