src_player,dest_position,relation
1002530088:Betsy,Middle,HAS_POSITION
1002530088:Steeelback,ADC,HAS_POSITION
1002530088:SirNukesAlot,Support,HAS_POSITION
1002530090:Vizicsacsi,Top,HAS_POSITION
1002530090:Amazing,Jungle,HAS_POSITION
1002530090:Nukeduck,Middle,HAS_POSITION
1002530090:Upset,ADC,HAS_POSITION
1002530090:Vander,Support,HAS_POSITION
1002530090:WhiteKnight,Top,HAS_POSITION
1002530090:Kold,Jungle,HAS_POSITION
1002530090:Exileh,Middle,HAS_POSITION
1002530090:Samux,ADC,HAS_POSITION
1002530090:Totoro,Support,HAS_POSITION
1002530092:Wunder,Top,HAS_POSITION
1002530092:Jankos,Jungle,HAS_POSITION
1002530092:Perkz,Middle,HAS_POSITION
1002530092:Hjarnan,ADC,HAS_POSITION
1002530092:Wadid,Support,HAS_POSITION
1002530092:Profit,Top,HAS_POSITION
1002530092:Memento,Jungle,HAS_POSITION
1002530092:Blanc,Middle,HAS_POSITION
1002530092:HeaQ,ADC,HAS_POSITION
1002530092:Norskeren,Support,HAS_POSITION
1002530095:sOAZ,Top,HAS_POSITION
1002530095:Broxah,Jungle,HAS_POSITION
1002530095:Caps,Middle,HAS_POSITION
1002530095:Rekkles,ADC,HAS_POSITION
1002530095:Hylissang,Support,HAS_POSITION
1002530095:Alphari,Top,HAS_POSITION
1002530095:Maxlore,Jungle,HAS_POSITION
1002530095:Sencux,Middle,HAS_POSITION
1002530095:Hans Sama,ADC,HAS_POSITION
1002530095:Mikyx,Support,HAS_POSITION
720640:SoHwan,Top,HAS_POSITION
720640:UmTi,Jungle,HAS_POSITION
720640:Grace,Middle,HAS_POSITION
720640:Teddy,ADC,HAS_POSITION
720640:Nova,Support,HAS_POSITION
720640:Khan,Top,HAS_POSITION
720640:Cuzz,Jungle,HAS_POSITION
720640:Bdd,Middle,HAS_POSITION
720640:PraY,ADC,HAS_POSITION
720640:GorillA,Support,HAS_POSITION
720646:Khan,Top,HAS_POSITION
720646:Peanut,Jungle,HAS_POSITION
720646:Bdd,Middle,HAS_POSITION
720646:PraY,ADC,HAS_POSITION
720646:GorillA,Support,HAS_POSITION
720646:SoHwan,Top,HAS_POSITION
720646:UmTi,Jungle,HAS_POSITION
720646:Grace,Middle,HAS_POSITION
720646:Teddy,ADC,HAS_POSITION
720646:Nova,Support,HAS_POSITION
720648:SoHwan,Top,HAS_POSITION
720648:KaKAO,Jungle,HAS_POSITION
720648:Grace,Middle,HAS_POSITION
720648:Teddy,ADC,HAS_POSITION
720648:Nova,Support,HAS_POSITION
720648:Khan,Top,HAS_POSITION
720648:Peanut,Jungle,HAS_POSITION
720648:Bdd,Middle,HAS_POSITION
720648:PraY,ADC,HAS_POSITION
720648:GorillA,Support,HAS_POSITION
720662:CuVee,Top,HAS_POSITION
720662:Haru,Jungle,HAS_POSITION
720662:Fly,Middle,HAS_POSITION
720662:Ruler,ADC,HAS_POSITION
720662:CoreJJ,Support,HAS_POSITION
720662:Thal,Top,HAS_POSITION
720662:Blossom,Jungle,HAS_POSITION
720662:Faker,Middle,HAS_POSITION
720662:Bang,ADC,HAS_POSITION
720662:Wolf,Support,HAS_POSITION
720686:Thal,Top,HAS_POSITION
720686:Blossom,Jungle,HAS_POSITION
720686:Faker,Middle,HAS_POSITION
720686:Bang,ADC,HAS_POSITION
720686:Wolf,Support,HAS_POSITION
720686:CuVee,Top,HAS_POSITION
720686:Haru,Jungle,HAS_POSITION
720686:Fly,Middle,HAS_POSITION
720686:Ruler,ADC,HAS_POSITION
720686:CoreJJ,Support,HAS_POSITION
690233:PieCakeLord,Top,HAS_POSITION
690233:MikeYeung,Jungle,HAS_POSITION
690233:Ablazeolive,Middle,HAS_POSITION
690233:MrRallez,ADC,HAS_POSITION
690233:Shady,Support,HAS_POSITION
690233:FallnBandit,Top,HAS_POSITION
690233:Wiggily,Jungle,HAS_POSITION
690233:Tuesday,Middle,HAS_POSITION
690233:Auto,ADC,HAS_POSITION
690233:Fill,Support,HAS_POSITION
690235:V1per,Top,HAS_POSITION
690235:Hard,Jungle,HAS_POSITION
690235:Insanity,Middle,HAS_POSITION
690235:Shoryu,ADC,HAS_POSITION
690235:Joey,Support,HAS_POSITION
690235:NintendudeX,Top,HAS_POSITION
690235:OddOrange,Jungle,HAS_POSITION
690235:Yusui,Middle,HAS_POSITION
690235:Lost,ADC,HAS_POSITION
690235:Adrian,Support,HAS_POSITION
690237:Shiro,Top,HAS_POSITION
690237:Blaber,Jungle,HAS_POSITION
690237:Jensen,Middle,HAS_POSITION
690237:Sneaky,ADC,HAS_POSITION
690237:Smoothie,Support,HAS_POSITION
690237:Ngo,Top,HAS_POSITION
690237:AnDa,Jungle,HAS_POSITION
690237:Pekin Woof,Middle,HAS_POSITION
690237:Erry,ADC,HAS_POSITION
690237:JayJ,Support,HAS_POSITION
