src_player,dest_champion,relation
700291:Pekin Woof,Swain,HAS_CHAMPION
700291:Erry,Mordekaiser,HAS_CHAMPION
700291:JayJ,Braum,HAS_CHAMPION
700295:FallnBandit,Dr. Mundo,HAS_CHAMPION
700295:Wiggily,Trundle,HAS_CHAMPION
700295:Tuesday,Syndra,HAS_CHAMPION
700295:Auto,Brand,HAS_CHAMPION
700295:Fill,Pyke,HAS_CHAMPION
700295:Shiro,Camille,HAS_CHAMPION
700295:Blaber,Nocturne,HAS_CHAMPION
700295:Jensen,Lulu,HAS_CHAMPION
700295:Sneaky,Ezreal,HAS_CHAMPION
700295:Smoothie,Alistar,HAS_CHAMPION
700299:zig,Dr. Mundo,HAS_CHAMPION
700299:Potluck,Xin Zhao,HAS_CHAMPION
700299:bobqin,Zoe,HAS_CHAMPION
700299:Benji,Brand,HAS_CHAMPION
700299:Sheep,Soraka,HAS_CHAMPION
700299:Brandini,Gangplank,HAS_CHAMPION
700299:Levi,Graves,HAS_CHAMPION
700299:Linsanity,Lulu,HAS_CHAMPION
700299:Rikara,Irelia,HAS_CHAMPION
700299:Stunt,Rakan,HAS_CHAMPION
700301:Dhokla,Camille,HAS_CHAMPION
700301:Fanatiik,Xin Zhao,HAS_CHAMPION
700301:Palafox,Viktor,HAS_CHAMPION
700301:Eclipse,KaiSa,HAS_CHAMPION
700301:Gate,Ornn,HAS_CHAMPION
700301:Maxtrobo,Dr. Mundo,HAS_CHAMPION
700301:Moon,Trundle,HAS_CHAMPION
700301:Sun,Lulu,HAS_CHAMPION
700301:Piglet,Lucian,HAS_CHAMPION
700301:Vulcan,Braum,HAS_CHAMPION
700303:PieCakeLord,Shen,HAS_CHAMPION
700303:MikeYeung,Olaf,HAS_CHAMPION
700303:Ablazeolive,Zoe,HAS_CHAMPION
700303:MrRallez,Lucian,HAS_CHAMPION
700303:Shady,Braum,HAS_CHAMPION
700303:V1per,Ornn,HAS_CHAMPION
700303:Hard,Trundle,HAS_CHAMPION
700303:Insanity,Aurelion Sol,HAS_CHAMPION
700303:Shoryu,Varus,HAS_CHAMPION
700303:Joey,Morgana,HAS_CHAMPION
1002530107:Profit,Vladimir,HAS_CHAMPION
1002530107:Memento,Graves,HAS_CHAMPION
1002530107:Blanc,Lissandra,HAS_CHAMPION
1002530107:HeaQ,Ziggs,HAS_CHAMPION
1002530107:Norskeren,Pyke,HAS_CHAMPION
1002530107:Smittyj,Chogath,HAS_CHAMPION
1002530107:Shook,Nocturne,HAS_CHAMPION
1002530107:Selfie,Lulu,HAS_CHAMPION
1002530107:Sheriff,Draven,HAS_CHAMPION
1002530107:promisq,Fiddlesticks,HAS_CHAMPION
1002540168:Alphari,Dr. Mundo,HAS_CHAMPION
1002540168:Maxlore,Taliyah,HAS_CHAMPION
1002540168:Sencux,Aurelion Sol,HAS_CHAMPION
1002540168:Hans Sama,Varus,HAS_CHAMPION
1002540168:Mikyx,Gragas,HAS_CHAMPION
1002540168:WhiteKnight,Darius,HAS_CHAMPION
1002540168:Kold,Camille,HAS_CHAMPION
1002540168:Exileh,Ryze,HAS_CHAMPION
1002540168:Samux,Lulu,HAS_CHAMPION
1002540168:Totoro,Alistar,HAS_CHAMPION
1002530128:Cabochard,Ornn,HAS_CHAMPION
1002530128:Gilius,Taliyah,HAS_CHAMPION
1002530128:Jiizuke,Talon,HAS_CHAMPION
1002530128:Attila,Lux,HAS_CHAMPION
1002530128:Jactroll,Pyke,HAS_CHAMPION
1002530128:Ruin,Gangplank,HAS_CHAMPION
1002530128:Djoko,Xin Zhao,HAS_CHAMPION
1002530128:Betsy,Lulu,HAS_CHAMPION
1002530128:Steeelback,Ezreal,HAS_CHAMPION
1002530128:SirNukesAlot,Fiddlesticks,HAS_CHAMPION
1002540191:Bwipo,Singed,HAS_CHAMPION
1002540191:Broxah,Nunu,HAS_CHAMPION
1002540191:Caps,KaiSa,HAS_CHAMPION
1002540191:Rekkles,Karma,HAS_CHAMPION
1002540191:Hylissang,Morgana,HAS_CHAMPION
1002540191:Vizicsacsi,Renekton,HAS_CHAMPION
1002540191:Amazing,Camille,HAS_CHAMPION
1002540191:Nukeduck,Twisted Fate,HAS_CHAMPION
1002540191:Upset,Varus,HAS_CHAMPION
1002540191:Vander,Shen,HAS_CHAMPION
1002540201:Wunder,Aatrox,HAS_CHAMPION
1002540201:Jankos,Braum,HAS_CHAMPION
1002540201:Perkz,KaiSa,HAS_CHAMPION
1002540201:Hjarnan,Heimerdinger,HAS_CHAMPION
1002540201:Wadid,Soraka,HAS_CHAMPION
1002540201:Odoamne,Ornn,HAS_CHAMPION
1002540201:Xerxe,Nocturne,HAS_CHAMPION
1002540201:Nisqy,Syndra,HAS_CHAMPION
1002540201:Kobbe,Ziggs,HAS_CHAMPION
1002540201:kaSing,Fiddlesticks,HAS_CHAMPION
1002620023:Impact,Aatrox,HAS_CHAMPION
1002620023:Xmithie,Camille,HAS_CHAMPION
1002620023:Pobelter,Galio,HAS_CHAMPION
1002620023:Doublelift,Xayah,HAS_CHAMPION
1002620023:Olleh,Rakan,HAS_CHAMPION
1002620023:Ssumday,Renekton,HAS_CHAMPION
1002620023:Meteos,Trundle,HAS_CHAMPION
1002620023:Ryu,Irelia,HAS_CHAMPION
1002620023:Cody Sun,Vladimir,HAS_CHAMPION
1002620023:aphromoo,Leona,HAS_CHAMPION
1002620033:Hauntzer,Aatrox,HAS_CHAMPION
1002620033:Grig,Olaf,HAS_CHAMPION
